address,name,online_order,book_table,rate,rating_clean,votes,location,location_clean,rest_type,primary_rest_type,dish_liked,cuisines,primary_cuisine,approx_cost(for two people),cost_for_two,listed_in(type),listed_in(city),city_clean
"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1/5,4.1,46,JP Nagar,Jp Nagar,Cafe,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",Cafe,600,600,Delivery,Bannerghatta Road,Bannerghatta Road
"1338, D Block, AECS Layout, Opposite Water Tank Ground, Brookefield, Bangalore",Simhapuri Kitchen,Yes,Yes,4.0/5,4,510,Brookefield,Brookefield,Casual Dining,Casual Dining,"Hyderabadi Biryani, Gongura Biryani, Butter Naan, Vegetarian, Mutton Biryani, Ghee Karam Dosa, Tandoori Chicken","Andhra, Biryani, Chinese, South Indian",Andhra,800,800,Dine-out,Brookefield,Brookefield
"612, Basil Montana, 4th Floor, Above YES Bank, 80 Feet Road, Koramangala 4th Block, Bangalore",Attic Lounge,Yes,Yes,4.0/5,4,1229,Koramangala 4th Block,Koramangala 4Th Block,Cafe,Cafe,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Onion Rings",Cafe,Cafe,700,700,Delivery,BTM,Btm
"1-2, Near Bhaganagar Bus Stop, Shankarnaga Road, Bhaganagar Layout, Gottigere, Bannerghatta Road, Bangalore",Black Mug Cafe,Yes,No,3.7/5,3.7,171,Bannerghatta Road,Bannerghatta Road,Cafe,Cafe,Coffee,Cafe,Cafe,300,300,Cafes,Bannerghatta Road,Bannerghatta Road
"9, First floor, Curzon Complex, Brigade Road, Bangalore",Saatvikk,No,No,2.8/5,2.8,132,Brigade Road,Brigade Road,Casual Dining,Casual Dining,"Masala Papad, Cheese Garlic Naan, Coffee, Corn Soup, Pasta","North Indian, South Indian, Continental",North Indian,650,650,Buffet,Church Street,Church Street
"Devatha Plaza, Residency Road, Bangalore",Rescafe,No,No,3.8/5,3.8,41,Residency Road,Residency Road,Quick Bites,Quick Bites,"Samosa, Tea",Beverages,Beverages,100,100,Delivery,Brigade Road,Brigade Road
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,Yes,No,3.8/5,3.8,71,Basavanagudi,Basavanagudi,Dessert Parlor,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",Ice Cream,400,400,Delivery,Banashankari,Banashankari
"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Patio 805,Yes,Yes,4.1/5,4.1,364,Jayanagar,Jayanagar,Casual Dining,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",Thai,"1,200",1200,Dine-out,Basavanagudi,Basavanagudi
"Ground Floor, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Haagen Dazs,Yes,No,3.9/5,3.9,77,Koramangala 7th Block,Koramangala 7Th Block,Dessert Parlor,Dessert Parlor,"Waffles, Chocolate Bomb, Belgium Chocolate, Chocolate Sundae, Chocolate Icecreams, Strawberry Cheesecake","Ice Cream, Desserts",Ice Cream,800,800,Delivery,BTM,Btm
"458, Ground Floor, 2nd Main, Outer Ring Road, HSR, Bangalore",Swad 'E' Punjab,Yes,No,3.6/5,3.6,49,HSR,Hsr,Casual Dining,Casual Dining,,"North Indian, Chinese, Mughlai",North Indian,500,500,Delivery,BTM,Btm
"Hotel Goyal Residency, 17-C Keonics, Opposite Symbiosis College, 1st Phase, Electronic City, Bangalore",Fishing Boat - Hotel Goyal Residency,Yes,Yes,3.9/5,3.9,418,Electronic City,Electronic City,Casual Dining,Casual Dining,"Sea Food, Prawn Biryani, Neer Dosa, Crab Sukha, Chicken Biryani, Fish, Murgh Ghee Roast","Seafood, North Indian, Chinese, Biryani",Seafood,800,800,Dine-out,Electronic City,Electronic City
"70, Cunningham Road, Bangalore",Feast India Co.,Yes,No,4.2/5,4.2,133,Cunningham Road,Cunningham Road,Casual Dining,Casual Dining,"Naan, Phirni, Sheermal, Rasmalai, Chicken Tikka, Paneer Tikka, Galauti Kebab","Awadhi, Bengali, North Indian",Awadhi,"1,500",1500,Delivery,Brigade Road,Brigade Road
"54, Bassappa Road, Corporation Bank Cross, Shanti Nagar, Bangalore",Desi Vdesi,Yes,No,3.9/5,3.9,113,Shanti Nagar,Shanti Nagar,Quick Bites,Quick Bites,"Rolls, Burgers, Sandwiches, Nachos, Sweet Lassi, Fries, Methi Paratha","Fast Food, North Indian, Rolls",Fast Food,250,250,Delivery,Brigade Road,Brigade Road
"31, 1st Floor, RR Images, Panduranga Nagar, Near Arakere, Bannerghatta Road, Bangalore",Beijing Bites,No,No,2.7/5,2.7,160,Bannerghatta Road,Bannerghatta Road,Casual Dining,Casual Dining,Chop Suey,"Chinese, Thai",Chinese,850,850,Dine-out,Bannerghatta Road,Bannerghatta Road
"234, 32 A Cross, 2nd Main Road, 7th Block, Jayanagar, Bangalore",Prems Graama Bhojanam,Yes,No,4.3/5,4.3,322,Jayanagar,Jayanagar,Casual Dining,Casual Dining,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",South Indian,South Indian,400,400,Delivery,Banashankari,Banashankari
"The Chancery Hotel, Lavelle Road, Bangalore",South Parade - The Chancery Hotel,No,No,3.1/5,3.1,120,Lavelle Road,Lavelle Road,"Casual Dining, Bar",Casual Dining,"Breakfast Buffet, Salads","North Indian, Continental, Chinese",North Indian,"1,200",1200,Dine-out,Brigade Road,Brigade Road
"3rd Cross, 2nd Phase Ashraya Layout. Mahadevapura, Marathahalli, Bangalore",Nitehunger,Yes,No,2.6/5,2.6,119,Marathahalli,Marathahalli,"Takeaway, Delivery",Takeaway,,"North Indian, Chinese",North Indian,500,500,Delivery,Brookefield,Brookefield
"Near Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Combo Studio,Yes,No,3.1/5,3.1,16,Bannerghatta Road,Bannerghatta Road,Casual Dining,Casual Dining,,"North Indian, Biryani, Chinese",North Indian,500,500,Dine-out,Bannerghatta Road,Bannerghatta Road
"JW Marriott Bengaluru, 24/1, Vittal Mallya Road, Lavelle Road, Bangalore",Bar UNO - JW Marriott Bengaluru,No,No,3.9/5,3.9,72,Lavelle Road,Lavelle Road,Lounge,Lounge,"Cocktails, Pizza",Spanish,Spanish,"2,500",2500,Drinks & nightlife,Church Street,Church Street
"40/2, Lavelle Road, Bangalore",The Spice Bazaar,No,Yes,4.2/5,4.2,332,Lavelle Road,Lavelle Road,"Casual Dining, Bar",Casual Dining,"Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Custard","North Indian, Mughlai",North Indian,"1,000",1000,Buffet,Church Street,Church Street
"Devarachikkanahalli Main Road, Kaveri Nagar, Hongasandra, Near Bommanahalli, Bangalore",Indian Desi Momo,Yes,No,,3.7,0,Bommanahalli,Bommanahalli,Takeaway,Takeaway,,Momos,Momos,200,200,Delivery,BTM,Btm
"Shop 201, Ground Floor, West Minister, 13, Cunningham Road, Bangalore",Red Lantern,Yes,No,3.7/5,3.7,161,Cunningham Road,Cunningham Road,Casual Dining,Casual Dining,"Noodles, Phad Thai, Sweet Corn Soup, Chop Suey","Chinese, Thai",Chinese,700,700,Dine-out,Church Street,Church Street
"Ballal Residency, 74/4, 3 Cross, Residency Road, Bangalore",The Charlton Bar,No,No,3.3/5,3.3,4,Residency Road,Residency Road,Bar,Bar,,"Chinese, North Indian",Chinese,"1,000",1000,Pubs and bars,Church Street,Church Street
"61, Green Glen Layout, Bellandur, Bangalore",Yummy Tummy,Yes,No,3.0/5,3,111,Bellandur,Bellandur,Quick Bites,Quick Bites,"Rolls, Paratha","Rolls, North Indian, Chinese, Biryani",Rolls,400,400,Dine-out,Bellandur,Bellandur
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8/5,3.8,90,Banashankari,Banashankari,Cafe,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,Cafe,650,650,Cafes,Basavanagudi,Basavanagudi
"Sai Plaza, 7th Cross Road, 2nd Stage, BTM, Bangalore",Trippy Paradise,Yes,No,2.6/5,2.6,60,BTM,Btm,Cafe,Cafe,,Cafe,Cafe,900,900,Cafes,BTM,Btm
"More Megastore Compound, Outer Ring Road, Marathalli Village, Marathahalli, Bangalore",Mr. Cane,Yes,No,,3.7,0,Marathahalli,Marathahalli,Food Court,Food Court,,Juices,Juices,100,100,Delivery,Bellandur,Bellandur
"599, 24th Cross, 2nd Stage, Banashankari, Bangalore",Waffle-A-Go Go,Yes,No,3.9/5,3.9,70,Banashankari,Banashankari,Dessert Parlor,Dessert Parlor,Waffles,"Fast Food, Desserts, Ice Cream",Fast Food,400,400,Desserts,Banashankari,Banashankari
"42/2, Charminar Masjid Road, New Market Road, Baithulmahal, Shivajinagar, Bangalore",Maiera Siddiqha Kabab Centre,No,No,,3.7,0,Shivajinagar,Shivajinagar,Quick Bites,Quick Bites,,"North Indian, Fast Food",North Indian,200,200,Dine-out,Brigade Road,Brigade Road
"31 South Park Hotel, 198, 2nd & 3rd Floor, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Soho Bar & Grill,No,No,2.7/5,2.7,377,Basavanagudi,Basavanagudi,Pub,Pub,"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries","North Indian, Chinese, Thai",North Indian,"1,100",1100,Drinks & nightlife,Banashankari,Banashankari
"10th Cross, Anantha Nagar 2nd Phase, Electronic City, Bangalore",ANR Dum Biryani Centre,No,No,,3.7,0,Electronic City,Electronic City,Quick Bites,Quick Bites,,"South Indian, Biryani",South Indian,350,350,Delivery,Electronic City,Electronic City
"598, 1st Floor, 1st Cross, 1st A Main Road, Domlur Layout, 1st Stage, Domlur, Bangalore",Slurpy Shakes,Yes,No,,3.7,0,Domlur,Domlur,"Takeaway, Delivery",Takeaway,,Beverages,Beverages,300,300,Delivery,Brigade Road,Brigade Road
"Level 4, Trinity Circle, MG Road, Bangalore",Foodhall,Yes,No,4.0/5,4,113,MG Road,Mg Road,Casual Dining,Casual Dining,"Pasta, Salads, Sandwich, Coffee, Tea, Sandwiches","Italian, Bakery, Fast Food",Italian,"1,000",1000,Dine-out,Church Street,Church Street
"6/1, 8th Main Road, Near Aiyappa Temple, Opp: Citibank ATM, Vasanth Nagar, Bangalore",Ahmed Biriyani Corner,No,No,,3.7,0,Vasanth Nagar,Vasanth Nagar,Quick Bites,Quick Bites,,Biryani,Biryani,200,200,Dine-out,Church Street,Church Street
"44/1, Residency Road, Bangalore",Art of Delight,No,No,4.4/5,4.4,1896,Residency Road,Residency Road,Dessert Parlor,Dessert Parlor,"Waffles, Chocolate Sundae, Mango Ice Cream, Nutella Cheesecake, Salsa, Banana Split, Hot Chocolate Fudge","Ice Cream, Desserts, Beverages",Ice Cream,400,400,Delivery,Brigade Road,Brigade Road
"Koppa Road, Yellanahalli Village, Begur Road, Lavelle Road, Bangalore",Lazzet Lee,No,No,NEW,3.7,0,Lavelle Road,Lavelle Road,Quick Bites,Quick Bites,,"Mughlai, Cafe",Mughlai,400,400,Delivery,Church Street,Church Street
"95/3, Doddanekkundi, Outer Ring Road, Marathahalli, Bangalore",The Dhaba,No,Yes,2.7/5,2.7,442,Marathahalli,Marathahalli,Casual Dining,Casual Dining,"Paratha, Vegetarian, Makke Ki Roti, Curd Rice, Chicken Biryani, Malai Kofta, Sweet Lassi",North Indian,North Indian,900,900,Delivery,Brookefield,Brookefield
"15 K-1, D Block, Next to St. Patrick's Church, Opposite to Printo",Trick Or Treat,No,No,4.2/5,4.2,618,Brigade Road,Brigade Road,Cafe,Cafe,"Burgers, Sandwich, Peri Peri Chicken Satay, Fries, Nachos, Sandwiches, Pesto Pasta","Cafe, Burger, Continental, Pizza, Steak",Cafe,500,500,Delivery,Church Street,Church Street
"55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore",Brewsky,Yes,Yes,4.4/5,4.4,4315,JP Nagar,Jp Nagar,Microbrewery,Microbrewery,"Pork Chops, Craft Beer, Chicken Biryani, Chowmein, Drunken Chicken Wings, Cocktails, Mocktails","Continental, American",Continental,"1,600",1600,Dine-out,BTM,Btm
"41/42, Residency Road, Bangalore Shanthala Nagar, Ashok Nagar, Residency Road",Driven Cafe,Yes,No,3.4/5,3.4,122,Residency Road,Residency Road,Cafe,Cafe,"Coffee, Fries, Cappuccino, Margherita Pizza","Cafe, Beverages, Fast Food",Cafe,600,600,Cafes,Brigade Road,Brigade Road
"11,12, 80 Feet Road, Behind Reliance Fresh, Banashankri, Bangalore",Lassi Stop,Yes,No,3.4/5,3.4,12,Banashankari,Banashankari,"Beverage Shop, Quick Bites",Beverage Shop,,"Beverages, Fast Food, Juices",Beverages,150,150,Delivery,Basavanagudi,Basavanagudi
"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",Bottle Breacher,No,Yes,4.1/5,4.1,1187,JP Nagar,Jp Nagar,"Casual Dining, Pub",Casual Dining,"Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos","Italian, Continental",Italian,"1,200",1200,Drinks & nightlife,Bannerghatta Road,Bannerghatta Road
"8, Jailaxmi Nivas, Koramangala 5th Block, Bangalore",Fava Bistro,Yes,Yes,4.4/5,4.4,383,Koramangala 5th Block,Koramangala 5Th Block,"Casual Dining, Bar",Casual Dining,"Pizza, Pita Bread, Beer Cocktail, Shrimp Soup, Baklava, Pasta, Babaganush","Mediterranean, Pizza, Italian, Beverages",Mediterranean,"1,500",1500,Dine-out,BTM,Btm
"4, Chetan Building, Opposite St. Joseph Convent School, Whitefield Main Road, Whitefield, Bangalore",Rafoo Chakkar,Yes,No,3.9/5,3.9,385,Whitefield,Whitefield,Quick Bites,Quick Bites,"Veg Tandoori Momos, Keema Pav, Butter Chicken, Pav Bhaji, Rolls, Galauti Kebab, Achari Paneer","North Indian, Rolls",North Indian,300,300,Delivery,Brookefield,Brookefield
"14/1, Wood Street, Ashok Nagar, Richmond Road, Bangalore",Toast & Tonic,No,Yes,4.6/5,4.6,1082,Richmond Road,Richmond Road,Casual Dining,Casual Dining,"Cocktails, Salads, Pork Ribs, Tomato Soup, Burgers, Mushroom Toast, Cheesecake","European, Asian",European,"1,500",1500,Dine-out,Brigade Road,Brigade Road
"17, Opposite Fatima Bakery, Richmond Road, Bangalore Richmond Road",Kabab Magic,Yes,No,3.9/5,3.9,74,Richmond Road,Richmond Road,Quick Bites,Quick Bites,,"North Indian, Kebab, Fast Food",North Indian,500,500,Delivery,Church Street,Church Street
"The Market Place, Campus 4 A & B, RMZ Eco world, Outer Ring Road, Varthur Hobli, Bellandur, Bangalore",Tata Cha,Yes,No,3.6/5,3.6,34,Bellandur,Bellandur,"Beverage Shop, Cafe",Beverage Shop,,"Tea, Fast Food, Cafe",Tea,400,400,Cafes,Bellandur,Bellandur
"Opposite Metro Station, MG Road, Bangalore",Khally Wally,No,No,,3.7,0,MG Road,Mg Road,Quick Bites,Quick Bites,,"Biryani, Kebab",Biryani,250,250,Dine-out,Brigade Road,Brigade Road
"Subam Tower, Pb/NO 455, 14, Next to UD Roti Ghar, Gandhi Bazaar, Basavanagudi, Bangalore",XO Belgian Waffle,Yes,No,3.9/5,3.9,56,Basavanagudi,Basavanagudi,Dessert Parlor,Dessert Parlor,"Waffles, Nutella Waffle, Thick Shakes","Desserts, Beverages",Desserts,400,400,Delivery,Basavanagudi,Basavanagudi
"3, First Floor, Opposite Bangalore Hospital, RV Road, South End Road, Basavanagudi, Bangalore",Pailwan House,No,No,,3.7,0,Basavanagudi,Basavanagudi,Quick Bites,Quick Bites,,"Fast Food, Biryani",Fast Food,350,350,Delivery,Basavanagudi,Basavanagudi
"Springs Hotel & Spa, 19, H. Siddaiah Road, Off JC Road, Near, Basavanagudi, Bangalore",MG's Fine Dining & Bar - Springs Hotel & Spa,No,Yes,3.8/5,3.8,21,Basavanagudi,Basavanagudi,Casual Dining,Casual Dining,,"North Indian, Asian, Continental",North Indian,800,800,Dine-out,Basavanagudi,Basavanagudi
"177, 9th Main Road, 7th Sector, HSR Layout, HSR, Bangalore",House Stark Cafe,Yes,No,3.9/5,3.9,44,HSR,Hsr,Cafe,Cafe,Fries,"Cafe, Desserts, Fast Food, Burger",Cafe,300,300,Delivery,BTM,Btm
"130, KHB Colony, 17 H Main, Koramangala 5th Block, Bangalore",Niice Cream,No,No,3.8/5,3.8,38,Koramangala 5th Block,Koramangala 5Th Block,Dessert Parlor,Dessert Parlor,Nitrogen Ice Cream,"Ice Cream, Beverages, Desserts",Ice Cream,400,400,Delivery,BTM,Btm
"15 K-1, D Block, Next to St. Patrick's Church, Opposite to Printo",Trick Or Treat,No,No,4.2/5,4.2,618,Brigade Road,Brigade Road,Cafe,Cafe,"Burgers, Sandwich, Peri Peri Chicken Satay, Fries, Nachos, Sandwiches, Pesto Pasta","Cafe, Burger, Continental, Pizza, Steak",Cafe,500,500,Cafes,Church Street,Church Street
"89, Kannan Building, MG Road, Bangalore",Lakeview Milkbar,No,No,4.0/5,4,1445,MG Road,Mg Road,"Dessert Parlor, Cafe",Dessert Parlor,"Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers","Desserts, Cafe, Fast Food",Desserts,500,500,Desserts,Church Street,Church Street
"Ground Floor, Near Forum Mall, Industrial Layout, Koramangala 7th Block, Bangalore",Starbucks,No,No,4.2/5,4.2,1355,Koramangala 7th Block,Koramangala 7Th Block,Cafe,Cafe,"Hot Chocolate, Coffee Hazelnut, Caramel Frappuccino, Cappuccino, Mocha Frappuccino, Java Chip Frappuccino, Sandwiches","Cafe, Desserts",Cafe,700,700,Cafes,BTM,Btm
"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",South Kitchen,Yes,No,4.3/5,4.3,275,Basavanagudi,Basavanagudi,Quick Bites,Quick Bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",South Indian,South Indian,100,100,Delivery,Basavanagudi,Basavanagudi
"Cinnamon, Ground Floor, 24 Gangadhar Chetty Road, Opposite RBNAMS Ground, Ulsoor, Bangalore",Cafe Cassia& Deli,No,No,4.2/5,4.2,115,Ulsoor,Ulsoor,"Casual Dining, Cafe",Casual Dining,"Coffee, Pasta, Tea","Lebanese, Mediterranean, Cafe",Lebanese,"1,000",1000,Dine-out,Brigade Road,Brigade Road
"49/8, 29th B Main, 100ft Ring Road, 1st Stage, BTM, Bangalore",Nammura Donne Biriyani,Yes,No,3.6/5,3.6,68,BTM,Btm,Quick Bites,Quick Bites,,"Andhra, Biryani",Andhra,300,300,Dine-out,BTM,Btm
"1160, 5th Main, Sector 7, HSR, Bangalore",Copper Cafe & Grill,No,No,,3.7,0,HSR,Hsr,Cafe,Cafe,,"Cafe, North Indian, Continental",Cafe,500,500,Dine-out,BTM,Btm
"174/1, Meu Square, Bannerghatta Road, Bangalore",KFC,Yes,No,3.8/5,3.8,369,Bannerghatta Road,Bannerghatta Road,Quick Bites,Quick Bites,"Rice Bowl, Paneer Zinger Burger, Burgers, Crispy Chicken, Chicken Boneless Strips","Burger, Fast Food",Burger,400,400,Dine-out,Bannerghatta Road,Bannerghatta Road
"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Main Road, Sarjapur Road, Bangalore",Happy Eats,Yes,No,NEW,3.7,0,Sarjapur Road,Sarjapur Road,Delivery,Delivery,,"North Indian, Continental",North Indian,300,300,Delivery,Bellandur,Bellandur
"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",Richie Rich,Yes,No,3.1/5,3.1,14,JP Nagar,Jp Nagar,"Takeaway, Delivery",Takeaway,,"Desserts, Ice Cream, Beverages",Desserts,250,250,Delivery,Bannerghatta Road,Bannerghatta Road
"Long Ford Road, Nanjappa Circle, Shanti Nagar, Bangalore",Sandhya Sagar,No,No,,3.7,0,Shanti Nagar,Shanti Nagar,Quick Bites,Quick Bites,,"North Indian, Chinese, South Indian",North Indian,300,300,Delivery,Brigade Road,Brigade Road
"Sai Durga Enclave, Salarpuria Soft Zone, Beside Shell Petrol Bunk, Maratahalli, Outer Ring Road, Bellandur, Bangalore",Mango Tree Grand,Yes,No,3.8/5,3.8,112,Bellandur,Bellandur,Quick Bites,Quick Bites,,"Andhra, North Indian",Andhra,700,700,Delivery,Bellandur,Bellandur
"1761, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Sagar Deluxe,Yes,No,3.2/5,3.2,167,Kumaraswamy Layout,Kumaraswamy Layout,Quick Bites,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",South Indian,300,300,Delivery,Banashankari,Banashankari
"77, Ground Floor, Bellandur Outer Ring Road, Bellandur, Bangalore",Empire Restaurant,Yes,No,3.8/5,3.8,2084,Bellandur,Bellandur,Casual Dining,Casual Dining,"Chicken Masala, Butter Naan, Shaadi Ki Biryani, Chicken Shawarama, Mutton Curry, Chicken Grill, Chicken Satay","North Indian, Mughlai, South Indian, Chinese",North Indian,750,750,Dine-out,Bellandur,Bellandur
"NS Palya, 4th Phase, Near Shoppers Stop, BTM, Bangalore",Baba Ka Dhaba,Yes,No,3.7/5,3.7,194,BTM,Btm,Quick Bites,Quick Bites,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",North Indian,North Indian,400,400,Dine-out,Bannerghatta Road,Bannerghatta Road
"635, 100 Feet Road, Koramangala 6th Block, Bangalore",Kota Kachori,Yes,No,4.3/5,4.3,3605,Koramangala 6th Block,Koramangala 6Th Block,Quick Bites,Quick Bites,"Pyaz Kachori, Chaat, Gajar Ka Halwa, Shrikhand, Jalebi Rabri, Churma, Boondi Raita","Street Food, Desserts, North Indian, Mithai, Rajasthani",Street Food,400,400,Delivery,BTM,Btm
"374/B, 2nd Phase, BSK 3rd Stage, Srinivasa Nagar, Banashankari, Bangalore",Kanti Sweets,Yes,No,4.0/5,4,115,Banashankari,Banashankari,Sweet Shop,Sweet Shop,,"Mithai, Street Food",Mithai,400,400,Delivery,Banashankari,Banashankari
"8/6, Kensington Point, Ulsoor Road, Ulsoor, Bangalore",The Grill House,Yes,Yes,4.1/5,4.1,765,Ulsoor,Ulsoor,"Casual Dining, Bar",Casual Dining,"Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak",American,"1,200",1200,Pubs and bars,Church Street,Church Street
"620, 1st Main Road, C Block, AECS Layout, Brookefield, Bangalore",Breads and Banter,No,Yes,4.2/5,4.2,65,Brookefield,Brookefield,"Cafe, Bakery",Cafe,"Tea, Pizza, New York Cheesecake, Hot Chocolate, Sunday Brunch","Cafe, Bakery, Fast Food",Cafe,400,400,Cafes,Brookefield,Brookefield
"Kitchens, 1st Floor Skywards Sun Park, Neeladri Road, Karuna Nagar, Phase 1, Electronic City, Bangalore",Shaadi Ki Biryani,No,No,NEW,3.7,0,Electronic City,Electronic City,"Takeaway, Delivery",Takeaway,,"Biryani, Charcoal Chicken",Biryani,600,600,Delivery,Electronic City,Electronic City
"N S Complex, Kundanahalli Gate, Brookefield, Bangalore",Subway,Yes,No,3.8/5,3.8,159,Brookefield,Brookefield,Quick Bites,Quick Bites,,"Salad, Fast Food",Salad,600,600,Dine-out,Brookefield,Brookefield
"The Bay, RMZ Eco World, Bellandur, Bangalore",Samaroh,No,No,4.0/5,4,246,Bellandur,Bellandur,Casual Dining,Casual Dining,"Kulfi, Rajasthani Thali, Sweet Paan, Buttermilk, Rasmalai, Chaat, Lassi",North Indian,North Indian,"1,200",1200,Delivery,Bellandur,Bellandur
